Column1,B350ML22 2024-03-20_14-43-31_1.obj,B350ML22 2024-03-20_14-43-31_2.obj,B350ML22 2024-03-20_14-43-31_3.obj,B350ML22 2024-03-20_14-43-31_4.obj,B350ML22 2024-03-20_14-43-31_5.obj,Pre Process Median,Column1,B350ML22 2024-03-20_14-43-31_1-LRSnp.obj,B350ML22 2024-03-20_14-43-31_2-CFW-RAp-LRSnp.obj,B350ML22 2024-03-20_14-43-31_3-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_4-CFW-LRAp-RSh-NkAll.obj,B350ML22 2024-03-20_14-43-31_5-CFW-LRAp-RSh-LRSnp.obj,Median,Column1,Difference in median values processed to non processed Scan 1
U01h_UnderBust_Circ_Height_075h,126.77,121.9,122.19,122.59,122.01,122.19,U01h_UnderBust_Circ_Height_075h,126.77,121.9,122.25,122.52,121.9,122.25,U01h_UnderBust_Circ_Height_075h,0.06
S20c_Stomach_Circ_TM_083c,82.77,83.06,82.63,82.72,82.87,82.77,S20c_Stomach_Circ_TM_083c,82.77,83.06,82.63,82.72,82.87,82.77,S20c_Stomach_Circ_TM_083c,0
S20f_Stomach_Circ_Fr_Arc_083f,42.7,41.5,40.64,40.74,40.85,40.85,S20f_Stomach_Circ_Fr_Arc_083f,42.7,41.5,40.64,40.73,40.86,40.86,S20f_Stomach_Circ_Fr_Arc_083f,0.01
S20b_Stomach_Circ_Bk_Arc_083b,39.95,41.42,41.85,41.85,41.92,41.85,S20b_Stomach_Circ_Bk_Arc_083b,39.95,41.42,41.85,41.85,41.91,41.85,S20b_Stomach_Circ_Bk_Arc_083b,0
S20d_Stomach_Circ_Depth_083d,20.52,20.77,20.95,20.55,20.54,20.55,S20d_Stomach_Circ_Depth_083d,20.52,20.77,20.95,20.54,20.54,20.54,S20d_Stomach_Circ_Depth_083d,-0.01
S20w_Stomach_Circ_Width_083w,30.03,30.01,30.03,29.92,30.01,30.01,S20w_Stomach_Circ_Width_083w,30.03,30.01,30.04,29.92,30.01,30.01,S20w_Stomach_Circ_Width_083w,0
S20h_Stomach_Circ_Height_083h,103.88,103.49,103.12,103.83,103.74,103.74,S20h_Stomach_Circ_Height_083h,103.88,103.49,103.08,103.78,103.69,103.69,S20h_Stomach_Circ_Height_083h,-0.05
S20zf_Stomach_Z_Point_Fr,8.4,8.89,8.59,8.76,8.48,8.59,S20zf_Stomach_Z_Point_Fr,8.4,8.89,8.58,8.75,8.47,8.58,S20zf_Stomach_Z_Point_Fr,-0.01
S20zb_Stomach_Z_Point_Bk,-12.13,-11.88,-12.36,-11.78,-12.06,-12.06,S20zb_Stomach_Z_Point_Bk,-12.13,-11.88,-12.37,-11.79,-12.07,-12.07,S20zb_Stomach_Z_Point_Bk,-0.01
W01c_Waist_SoB_2_Circ_TM_105c,79.36,79.61,78.69,79.06,79.15,79.15,W01c_Waist_SoB_2_Circ_TM_105c,79.36,79.62,78.69,79.06,79.16,79.16,W01c_Waist_SoB_2_Circ_TM_105c,0.01
W01f_Waist_SoB_2_Circ_Fr_Arc_105f,42.51,40.21,39.92,40.92,39.75,40.21,W01f_Waist_SoB_2_Circ_Fr_Arc_105f,42.51,40.22,39.92,40.29,39.76,40.22,W01f_Waist_SoB_2_Circ_Fr_Arc_105f,0.01
W01b_Waist_SoB_2_Circ_Bk_Arc_105b,36.8,39.33,38.7,38.07,39.34,38.7,W01b_Waist_SoB_2_Circ_Bk_Arc_105b,36.8,39.33,38.7,38.7,39.34,38.7,W01b_Waist_SoB_2_Circ_Bk_Arc_105b,0
W01d_Waist_SoB_2_Circ_Depth_105d,19.52,19.85,19.73,19.89,19.8,19.8,W01d_Waist_SoB_2_Circ_Depth_105d,19.52,19.86,19.59,19.51,19.72,19.59,W01d_Waist_SoB_2_Circ_Depth_105d,-0.21
